n,m,count,mean_absErr,median_absErr,std_absErr,mean_relErr,mean_cpu_ms,median_cpu_ms,std_cpu_ms
3,5,3,0.027876007999999997,0.021446609,0.011136045730132531,0.22300806399999998,16.073666666666668,16.241,2.111977588264927
3,6,3,0.014819021,0.011505227,0.0057396595738169,0.118552168,59.57366666666667,62.244,5.962258828106452
3,7,3,0.006851367,0.004524437,0.004030360985656248,0.054810936,217.41366666666667,222.788,13.14132429907021
3,8,3,0.034633631000000005,0.004524437,0.052949407511087905,0.27706904800000004,894.7890000000001,881.899,95.98534070888117
3,9,3,0.0031788233333333335,0.000431803,0.004757978786758127,0.025430586666666668,3457.527,3421.522,230.6736736409249
3,10,3,0.00043180299999999997,0.000431803,0.0,0.0034544239999999998,13539.078,13631.427,1094.0605870668226
4,5,3,0.022656718000000003,0.021765194,0.0015441648641670352,0.36250748800000004,65.59566666666666,64.222,4.838039926802308
4,6,3,0.003460632,0.003460632,0.0,0.055370112,268.25,277.226,15.749102863337956
4,7,3,0.076881239,0.003460632,0.12716822164654715,1.230099824,1037.4273333333333,1044.646,62.851678269822905
4,8,3,0.003460632,0.003460632,0.0,0.055370112,4163.427333333333,4129.688,169.6708562374022
4,9,3,0.000535047,0.000535047,0.0,0.008560752,16658.390333333333,16889.46,743.1135223142793
4,10,3,0.0008133563333333334,0.000952511,0.00024102295277697792,0.013013701333333334,66699.06533333333,68480.758,4006.274468122391
5,5,3,0.22457072800000002,0.006810234,0.3771722394892977,7.186263296000001,325.7486666666667,323.781,18.10288071919313
5,6,3,0.097009584,0.006810234,0.1562298570096878,3.104306688,1332.5526666666667,1303.466,109.35573994232463
5,7,3,0.034106167666666666,0.002022033,0.05557135135954862,1.0913973653333333,5377.281666666667,5139.709,550.9608677359339
5,8,3,0.009509889,0.013138033,0.006284129745176176,0.304316448,21096.023666666664,20707.141,989.6264384551062
5,9,3,8.0494e-05,8.0494e-05,0.0,0.002575808,84473.67133333333,84289.29,4614.603508716797
5,10,3,0.00038019999999999997,8.0494e-05,0.0005191060193332379,0.012166399999999999,340568.16733333335,340704.387,20283.55956024637
