seed,n,m,solution,y,phi,aHat,absErr,aTrue,y_rev,phi_rev,aHat_rev,absErr_rev,cpu_ms
42,2,10,10,682,0.6660156250,0.2482308081,0.0017691919,0.2500000000,341,0.3330078125,0.2508861665,0.0008861665,2480.510
42,3,5,101,6,0.1875000000,0.3086582838,0.1836582838,0.1250000000,12,0.3750000000,0.1464466094,0.0214466094,14.739
42,3,6,101,57,0.8906250000,0.1134947733,0.0115052267,0.1250000000,39,0.6093750000,0.1134947733,0.0115052267,55.100
42,3,7,101,70,0.5468750000,0.0215298321,0.1034701679,0.1250000000,49,0.3828125000,0.1295244373,0.0045244373,215.749
42,3,8,101,70,0.2734375000,0.4266347628,0.3016347628,0.1250000000,98,0.3828125000,0.1295244373,0.0045244373,851.709
42,3,9,101,326,0.6367187500,0.1734135785,0.0484135785,0.1250000000,197,0.3847656250,0.1254318027,0.0004318027,3336.849
42,3,10,101,326,0.3183593750,0.2917852200,0.1667852200,0.1250000000,394,0.3847656250,0.1254318027,0.0004318027,13379.383
42,4,5,1011,22,0.6875000000,0.3086582838,0.2461582838,0.0625000000,13,0.4062500000,0.0842651938,0.0217651938,61.027
42,4,6,1011,54,0.8437500000,0.2222148835,0.1597148835,0.0625000000,27,0.4218750000,0.0590393678,0.0034606322,240.279
42,4,7,1011,54,0.4218750000,0.0590393678,0.0034606322,0.0625000000,54,0.4218750000,0.0590393678,0.0034606322,949.437
42,4,8,1011,214,0.8359375000,0.2429486279,0.1804486279,0.0625000000,107,0.4179687500,0.0649565044,0.0024565044,3769.522
42,4,9,1011,470,0.9179687500,0.0649565044,0.0024565044,0.0625000000,215,0.4199218750,0.0619649529,0.0005350471,15000.197
42,4,10,1011,297,0.2900390625,0.3755361971,0.3130361971,0.0625000000,594,0.5800781250,0.0619649529,0.0005350471,60268.977
